freq_per_A,resolution_A,H6_vs_H7,H6_vs_H8,H6_vs_W6,H6_vs_W7,H6_vs_W8,H7_vs_H8,H7_vs_W6,H7_vs_W7,H7_vs_W8,H8_vs_W6,H8_vs_W7,H8_vs_W8,W6_vs_W7,W6_vs_W8,W7_vs_W8
0.00000,,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.00377,265.60,0.9973,0.9732,0.9315,0.9429,0.9701,0.9819,0.9430,0.9562,0.9800,0.9823,0.9896,0.9966,0.9976,0.9801,0.9873
0.00753,132.80,0.9963,0.9611,0.9366,0.9334,0.9632,0.9602,0.9329,0.9279,0.9611,0.9793,0.9781,0.9948,0.9961,0.9775,0.9766
0.01130,88.53,0.9540,0.8369,0.8746,0.8334,0.8654,0.8836,0.8396,0.8153,0.8887,0.8827,0.9191,0.9213,0.9560,0.8375,0.8709
0.01506,66.40,0.9587,0.5299,0.8009,0.7441,0.5301,0.6006,0.7474,0.7025,0.5803,0.6287,0.6972,0.9195,0.9640,0.5865,0.6496
0.01883,53.12,0.9343,0.2836,0.7483,0.7165,0.2672,0.2287,0.7084,0.6463,0.1993,0.3528,0.3374,0.9000,0.9390,0.3269,0.3069
0.02259,44.27,0.8925,0.2777,0.6646,0.5990,0.2609,0.0892,0.5811,0.4771,0.0716,0.3318,0.2339,0.8599,0.8933,0.3222,0.2170
0.02636,37.94,0.8989,0.2977,0.2853,0.2119,0.2544,0.1500,0.2081,0.1525,0.1106,0.4474,0.3798,0.7470,0.8946,0.4385,0.3121
0.03012,33.20,0.9138,0.4511,0.3527,0.3362,0.4004,0.3935,0.3421,0.3441,0.3323,0.6028,0.6068,0.6623,0.9113,0.5493,0.4856
0.03389,29.51,0.8961,0.3364,0.4326,0.4645,0.2554,0.2867,0.4516,0.4843,0.2176,0.4251,0.4274,0.6041,0.8817,0.3705,0.3744
0.03765,26.56,0.8731,0.3318,0.4077,0.4317,0.2434,0.2674,0.4222,0.4319,0.2347,0.3689,0.2996,0.6079,0.8348,0.2951,0.2786
0.04142,24.15,0.8145,0.3289,0.3143,0.2743,0.2130,0.2935,0.3043,0.2542,0.2271,0.2864,0.1685,0.4657,0.7491,0.2319,0.1583
0.04518,22.13,0.7826,0.2300,0.2923,0.2600,0.1450,0.3002,0.2860,0.2152,0.1895,0.2616,0.2278,0.4221,0.7060,0.2816,0.2305
0.04895,20.43,0.7743,0.0799,0.2984,0.2795,0.0200,0.0829,0.2759,0.2795,-0.0089,0.2708,0.2080,0.3921,0.6830,0.2651,0.1873
0.05271,18.97,0.7522,-0.0793,0.2853,0.3128,-0.0751,-0.0999,0.2798,0.3697,-0.1354,0.2739,0.1191,0.2872,0.6405,0.1402,0.0622
0.05648,17.71,0.7454,-0.0517,0.2017,0.2990,-0.0071,-0.0433,0.2528,0.3404,-0.0822,0.2613,0.0790,0.2086,0.6205,-0.0033,-0.0409
0.06024,16.60,0.7333,0.0701,0.0573,0.1885,0.0982,0.0924,0.1172,0.1925,0.0280,0.2958,0.0838,0.1656,0.6167,0.0020,-0.0810
0.06401,15.62,0.7034,0.1654,0.0492,0.1637,0.1017,0.1927,0.0935,0.1387,0.1153,0.3081,0.1135,0.1194,0.5667,0.0351,-0.0935
0.06777,14.76,0.6586,0.1528,0.1270,0.1939,0.0911,0.1731,0.1509,0.1790,0.1452,0.2763,0.0956,0.1260,0.5057,0.0737,-0.0264
0.07154,13.98,0.6634,0.1190,0.2318,0.2615,0.0431,0.1215,0.2468,0.2279,0.1074,0.2435,0.1024,0.1727,0.5132,0.1040,0.0197
0.07530,13.28,0.6622,0.0810,0.2626,0.2797,-0.0356,0.0903,0.2781,0.2317,0.0508,0.2220,0.1499,0.2263,0.4933,0.1227,0.0601
0.07907,12.65,0.6493,0.0588,0.1834,0.2245,-0.1108,0.0414,0.2121,0.1886,-0.0245,0.1754,0.1297,0.2306,0.4592,0.1169,0.0779
0.08283,12.07,0.6393,0.0732,0.1193,0.1539,-0.1390,0.0440,0.1474,0.1670,-0.0720,0.1722,0.1037,0.1652,0.4340,0.0909,0.0675
0.08660,11.55,0.6086,0.0865,0.0952,0.0986,-0.1835,0.0551,0.0888,0.1195,-0.0729,0.1666,0.0688,0.0804,0.3957,0.0615,0.0420
0.09036,11.07,0.5769,0.0964,0.0865,0.0721,-0.1874,0.0622,0.0525,0.1131,-0.0638,0.1164,0.0360,0.0550,0.3464,0.0022,-0.0048
0.09413,10.62,0.5461,0.0944,0.0294,0.0470,-0.1591,0.0742,0.0277,0.0996,-0.0299,0.0941,0.0105,0.0358,0.2938,-0.0193,-0.0279
0.09789,10.22,0.5031,0.0890,0.0440,0.0535,-0.1600,0.0610,0.0267,0.1097,-0.0195,0.0836,-0.0184,0.0124,0.2653,-0.0510,-0.0504
0.10166,9.84,0.4783,0.0915,0.0189,0.0556,-0.1376,0.0678,0.0202,0.0796,0.0193,0.0810,-0.0124,0.0208,0.2155,-0.0461,-0.0544
0.10542,9.49,0.4600,0.0657,0.0309,0.0640,-0.1274,0.0409,0.0325,0.0579,0.0239,0.0755,-0.0236,0.0352,0.1919,-0.0378,-0.0398
0.10919,9.16,0.4421,0.0388,0.0357,0.0808,-0.0998,0.0091,0.0554,0.0662,0.0257,0.0665,0.0035,0.0232,0.1906,-0.0474,-0.0393
0.11295,8.85,0.3876,0.0254,0.0379,0.0977,-0.0683,0.0105,0.0762,0.0686,0.0336,0.0666,0.0162,-0.0256,0.1554,-0.0532,-0.0449
0.11672,8.57,0.3753,0.0128,0.0426,0.1072,-0.0439,0.0149,0.0750,0.0886,0.0262,0.0754,0.0449,-0.0356,0.1428,-0.0335,-0.0227
0.12048,8.30,0.3430,0.0142,0.0338,0.1051,-0.0263,0.0320,0.0633,0.0989,0.0095,0.0687,0.0564,-0.0299,0.1268,-0.0127,-0.0248
0.12425,8.05,0.3173,0.0021,0.0183,0.1009,0.0036,0.0415,0.0512,0.1036,0.0353,0.0699,0.0532,0.0217,0.1157,-0.0079,-0.0058
0.12801,7.81,0.2913,-0.0130,0.0302,0.0997,0.0058,0.0374,0.0632,0.0832,0.0303,0.0640,0.0283,0.0827,0.1125,0.0117,0.0108
0.13178,7.59,0.2557,-0.0058,0.0163,0.0693,0.0198,0.0142,0.0583,0.0481,0.0121,0.0681,0.0116,0.1276,0.0832,0.0283,0.0107
0.13554,7.38,0.2272,0.0003,0.0288,0.0746,0.0353,0.0008,0.0672,0.0141,0.0030,0.0703,-0.0111,0.1081,0.0463,0.0253,0.0176
0.13931,7.18,0.2314,-0.0034,0.0228,0.0620,0.0304,-0.0131,0.0521,-0.0049,-0.0191,0.0396,0.0100,0.0649,0.0458,0.0176,0.0341
0.14307,6.99,0.2040,-0.0149,0.0256,0.0290,0.0144,-0.0091,0.0102,-0.0061,-0.0018,0.0255,0.0146,0.0457,0.0357,0.0192,0.0257
0.14684,6.81,0.2122,-0.0360,0.0155,0.0261,-0.0001,-0.0108,0.0072,0.0111,0.0032,0.0138,0.0065,0.0487,0.0320,0.0160,0.0233
0.15060,6.64,0.1911,-0.0438,0.0067,0.0264,-0.0148,-0.0163,0.0209,0.0093,-0.0139,0.0120,-0.0023,0.0825,0.0352,0.0041,-0.0045
0.15437,6.48,0.1832,-0.0431,0.0320,0.0230,-0.0168,-0.0007,0.0282,0.0346,-0.0203,0.0109,-0.0202,0.0702,0.0506,-0.0089,-0.0123
0.15813,6.32,0.1722,-0.0203,0.0296,0.0222,-0.0077,0.0070,0.0011,0.0359,-0.0042,0.0199,-0.0220,0.0263,0.0505,-0.0098,-0.0082
0.16190,6.18,0.1656,-0.0054,0.0508,0.0144,0.0135,0.0162,0.0030,0.0314,0.0210,0.0159,-0.0070,0.0463,0.0490,-0.0174,0.0002
0.16566,6.04,0.1406,0.0052,0.0439,0.0286,0.0185,0.0198,0.0262,0.0178,0.0261,0.0149,-0.0082,0.0408,0.0550,-0.0082,0.0070
0.16943,5.90,0.1327,0.0118,0.0487,0.0280,0.0196,0.0125,0.0397,0.0073,0.0232,0.0168,-0.0144,0.0500,0.0471,-0.0028,0.0080
0.17319,5.77,0.1334,-0.0072,0.0185,0.0224,0.0083,0.0164,0.0252,0.0167,0.0135,0.0092,-0.0018,0.0645,0.0429,0.0123,-0.0055
0.17696,5.65,0.1369,-0.0267,0.0073,0.0183,-0.0046,0.0161,0.0255,0.0189,0.0042,0.0125,-0.0214,0.0582,0.0366,0.0094,0.0068
0.18072,5.53,0.1300,-0.0207,-0.0148,0.0169,-0.0104,0.0195,0.0189,0.0256,-0.0023,0.0124,-0.0209,0.0743,0.0336,0.0052,0.0152
0.18449,5.42,0.1495,-0.0094,-0.0079,0.0185,-0.0170,0.0087,0.0189,0.0117,-0.0039,0.0194,-0.0054,0.0990,0.0499,0.0042,-0.0002
0.18825,5.31,0.1666,-0.0033,0.0122,0.0150,-0.0151,-0.0089,0.0157,-0.0024,-0.0248,0.0066,-0.0118,0.1270,0.0593,-0.0040,-0.0013
0.19202,5.21,0.1707,0.0040,0.0165,0.0105,-0.0181,-0.0111,0.0036,-0.0043,-0.0252,0.0096,-0.0196,0.1415,0.0677,-0.0078,0.0009
0.19578,5.11,0.1637,0.0037,0.0214,0.0065,-0.0142,-0.0104,0.0013,0.0016,-0.0120,0.0182,-0.0178,0.1195,0.0574,0.0150,0.0009
0.19955,5.01,0.1625,0.0154,0.0159,0.0194,-0.0208,0.0096,0.0137,0.0154,-0.0019,0.0097,-0.0025,0.0927,0.0505,0.0385,0.0072
0.20331,4.92,0.1549,0.0257,0.0144,0.0149,-0.0229,0.0001,0.0097,0.0249,-0.0219,0.0040,-0.0064,0.0414,0.0480,0.0133,-0.0069
0.20708,4.83,0.1434,0.0146,0.0071,0.0105,-0.0047,-0.0118,-0.0047,0.0093,-0.0223,-0.0035,-0.0070,0.0031,0.0314,-0.0168,-0.0022
0.21084,4.74,0.1291,-0.0112,0.0258,0.0054,-0.0078,-0.0170,0.0035,0.0123,-0.0227,0.0083,-0.0070,-0.0188,0.0164,-0.0493,-0.0000
0.21461,4.66,0.1085,-0.0190,0.0407,0.0135,-0.0041,-0.0161,0.0276,0.0040,-0.0129,0.0268,-0.0036,-0.0069,0.0171,-0.0541,0.0027
0.21837,4.58,0.1232,-0.0250,0.0242,0.0228,-0.0055,-0.0221,0.0319,0.0156,-0.0140,0.0377,0.0012,-0.0009,0.0214,-0.0346,0.0095
0.22214,4.50,0.1237,-0.0026,0.0303,0.0101,-0.0203,-0.0182,0.0204,0.0062,-0.0029,0.0357,-0.0010,0.0082,0.0272,-0.0330,-0.0002
0.22590,4.43,0.1043,0.0139,0.0189,0.0083,-0.0360,0.0079,0.0174,0.0084,-0.0007,0.0328,-0.0027,0.0238,0.0131,-0.0120,-0.0106
0.22967,4.35,0.0895,0.0145,0.0290,0.0169,-0.0136,-0.0018,0.0179,0.0062,-0.0092,0.0236,-0.0007,0.0218,0.0233,-0.0026,0.0044
0.23343,4.28,0.0707,0.0025,0.0299,0.0065,-0.0007,0.0085,0.0085,0.0017,-0.0105,0.0024,0.0080,0.0339,0.0173,-0.0050,-0.0087
0.23720,4.22,0.0557,0.0080,0.0279,-0.0046,-0.0005,0.0082,0.0007,0.0037,-0.0129,0.0078,0.0007,0.0084,-0.0084,0.0065,0.0029
0.24096,4.15,0.0409,0.0023,0.0260,0.0026,0.0063,0.0021,0.0008,-0.0074,-0.0015,0.0024,-0.0032,0.0053,-0.0006,0.0115,-0.0058
0.24473,4.09,0.0393,0.0023,0.0163,0.0061,-0.0021,-0.0011,-0.0022,-0.0028,0.0022,-0.0113,-0.0032,0.0086,0.0083,-0.0081,-0.0056
0.24849,4.02,0.0345,0.0054,0.0088,0.0007,-0.0078,0.0012,0.0056,-0.0137,-0.0003,-0.0026,0.0065,0.0201,-0.0016,0.0100,0.0023
0.25226,3.96,0.0139,0.0017,0.0097,-0.0000,-0.0094,0.0091,0.0140,0.0038,-0.0001,-0.0016,-0.0004,0.0169,-0.0003,0.0026,0.0050
0.25602,3.91,0.0255,0.0073,0.0050,-0.0006,-0.0036,0.0041,-0.0072,-0.0009,0.0065,0.0001,0.0088,0.0105,0.0059,-0.0064,0.0077
0.25979,3.85,0.0144,-0.0166,0.0075,0.0003,-0.0059,-0.0033,-0.0073,-0.0012,-0.0028,0.0010,-0.0019,-0.0092,-0.0009,-0.0087,-0.0040
0.26355,3.79,0.0086,0.0010,0.0096,0.0068,-0.0126,0.0017,0.0019,0.0018,0.0031,0.0073,-0.0061,-0.0022,-0.0081,-0.0074,0.0033
0.26732,3.74,0.0041,-0.0005,-0.0003,-0.0026,-0.0023,0.0021,-0.0020,-0.0013,0.0065,-0.0070,0.0077,-0.0023,0.0058,0.0067,-0.0001
0.27108,3.69,0.0047,0.0052,-0.0017,-0.0039,-0.0025,-0.0015,0.0018,-0.0015,0.0015,0.0053,0.0033,-0.0103,0.0018,-0.0073,0.0002
0.27485,3.64,0.0016,0.0071,0.0116,0.0094,0.0022,0.0055,-0.0005,0.0011,0.0019,0.0010,-0.0100,-0.0067,-0.0020,-0.0025,-0.0029
0.27861,3.59,-0.0066,-0.0100,-0.0014,0.0004,0.0008,0.0027,0.0020,-0.0020,0.0125,0.0029,-0.0075,0.0072,0.0001,-0.0034,-0.0060
0.28238,3.54,-0.0041,0.0015,0.0016,-0.0026,-0.0052,-0.0090,0.0054,-0.0085,-0.0023,0.0079,-0.0005,-0.0048,-0.0040,0.0037,-0.0053
0.28614,3.49,-0.0039,-0.0020,0.0030,0.0065,-0.0078,0.0067,-0.0013,-0.0081,0.0020,-0.0019,0.0013,0.0041,-0.0006,-0.0046,-0.0015
0.28991,3.45,-0.0111,-0.0011,0.0036,0.0026,-0.0074,0.0077,0.0113,-0.0068,0.0038,-0.0041,0.0026,0.0052,-0.0048,0.0025,0.0008
